State|Year|Page|N_Pages|Text
Arkansas|2008|29|490|There are a variety of impacts that are expected to affect Arkansas. These include increases in severe weather events and drought, which, in turn, can be expected to adversely affect agriculture. Floods are expected to increase in frequency with related expansion of floodplains and flood damage. Sea level rise will inundate some nearby coastal areas, and related salt-water intrusion, coupled with increased drought stress may impact water supplies. In areas dependent on snow pack, such as the western United States, water supplies will be more severely affected. Ecosystems and sensitive species could be disrupted as climatic zones move north. Tropical diseases and insects will move north. Heat-related deaths will increase, although cold-related deaths will decrease. Climate change impacts in volatile regions of the world could destabilize these areas and pose a national security threat. There is also a possibility of sudden and dramatic climate change that cannot be predicted, but would have far greater and adverse impacts.
Arkansas|2008|36|490|Cost savings— Total net costs or savings were estimated through comparison of monetized costs and savings of policy implementation over time, using discounting. These net costs could be positive or negative; negative costs indicated that the policy saved money or produced “cost savings.” Many policies were estimated to create net financial cost savings (typically through fuel savings and electricity savings associated with new policy actions).
Arkansas|2008|66|490|The GCGW recommends that Arkansas establish a statewide, economy-wide goal to reduce the state’s gross GHG emissions below 2000 levels by 20% by 2020, 35% by 2025, and 50% by 2035. These goals should be adopted by the state by 2009. The GCGW recommends that the Arkansas Climate Change Center prepare a report to the Governor and the state legislature once every 2 years on the state’s progress toward achieving the statewide GHG reduction goal, in coordination with ADEQ and other state agencies, as appropriate. This report should address each sector’s progress toward reducing GHG emissions; identify the contribution of each sector’s emissions (as noted in the GHG inventory and forecast report) toward achieving the statewide goal; and specify future actions and resource needs.
Arkansas|2008|184|490|Potential funding sources include philanthropic organizations, high-net-worth individuals, or others interested in supporting innovative, environmentally effective market solutions. Recognizing that fortunes are likely to be made in the “new energy economy,” for-profit investors, pension funds, mutual funds, and/or venture capitalists may be looking to fund similar business opportunities. Although technology entrepreneurs are often cited as offering potential global warming solutions, equally progressive solutions may lie in the fields of law, accounting, marketing, production, and government relations and lobbying. The objective of this policy recommendation is to leverage a state’s specific talents for global warming solutions into securing the business opportunities and market advantages that well-supported “early-bird” efforts are likely to reap in a carbon-constrained world.
Arkansas|2008|361|490|Total cropland in Arkansas was estimated at about 10 million acres in 2007.14 For the purposes of this analysis, it is assumed that conservation practices include conservation till (no-till and strip-till), and other conservation farming practices that provide enhanced ground cover, or other crop management practices that achieve similar soil carbon benefits. Conservation tillage is defined as any system that leaves 50% or more of the soil covered with residue.15
Arizona|2006|8|13|Reducing Arizona’s GHG emissions to the recommended levels through full implementation of all of the CCAG’s recommendations also would result in significant economic benefits for the state, including substantial economic cost savings, new job creation and enhanced economic development. The Center for Climate Strategies (CCS) has calculated overall net economic cost savings from the CCAG’s recommendations of more than $5.5 billion between 2007-2020, with additional significant cost savings also expected between 2020-2040 (although not calculated by CCS). The CCS also has calculated an average net economic cost savings of nearly $13 per ton of GHG emissions reduced under the CCAG’s recommended policy options (if fully implemented).
Arizona|2006|4|13|The Executive Order emphasized that “Arizona and other Western States have particular concerns about the impacts of climate change and climate variability on the environment, including the potential for prolonged drought, severe forest fires, warmer temperatures, increased snowmelt, reduced snow pack and other effects.”
Arizona|2006|10|13|The CCAG is recommending a set of thirteen (13) policy options to reduce GHG emissions reductions from the TLU sector, including improved vehicle fuel efficiency, increased usage of lower-emissions fuels, greater use of lower- emissions means of travel and land use and other strategies to decrease the growth in fuel use and vehicle miles traveled (VMT). GHG emissions from the TLU sector, which are expected to more than double by 2020 (over 1990 levels), are influenced by transportation technologies and fuels, along with population, economic growth and land use policies that affect the demand for transportation services.
Arizona|2006|11|13|Use Manure Digesters to Reduce Methane Emissions from Livestock Operations and Promote Energy Use of the Captured Methane (A-1) Use Biomass Feedstocks for Electricity or Steam Production (A-2) Increase Ethanol Production and Use (A-3) Convert Agricultural Land to Grassland or Forest to Increase Carbon Sequestration (A-7) Reduce Conversion of Farm and Rangelands to Developed Uses (A-8) Promote Consumption of Locally Produced Agricultural Commodities to Reduce Transportation Emissions (A-9) Decrease the Conversion of Forestland to Developed Uses (F-1) Increase Reforestation and Restoration of Forestland (F-2) Improve Forest Ecosystem Management (F-3a & 3b) Improve Commercialization of Biomass Gasification and Combined Cycle Technologies (F-4)
Arizona|2006|4|13|The Executive Order also recognized that “actions to reduce GHG emissions, including increasing energy efficiency, conserving natural resources and developing renewable energy sources, may have multiple benefits including economic development, job creation, cost savings, and improved air quality.”
